label_name,label_points,label_image,label_instagram
SOLOTOKO,86669 POINTS,https://www.beatstats.com/images/label/small/66520.jpg?version=1334,https://www.instagram.com/SOLOTOKO
OFF RECORDINGS,86273 POINTS,https://www.beatstats.com/images/label/small/11854.jpg?version=48475,https://www.instagram.com/OFF RECORDINGS
CLUB SWEAT,85825 POINTS,https://www.beatstats.com/images/label/small/30552.jpg?version=6271,https://www.instagram.com/CLUB SWEAT
TERMINAL M,85690 POINTS,https://www.beatstats.com/images/label/small/572.jpg?version=2812,https://www.instagram.com/TERMINAL M
GET PHYSICAL MUSIC,85250 POINTS,https://www.beatstats.com/images/label/small/586.jpg?version=39684,https://www.instagram.com/GET PHYSICAL MUSIC
KRAFTEK,80075 POINTS,https://www.beatstats.com/images/label/small/17363.jpg?version=45133,https://www.instagram.com/KRAFTEK
FFRR,79561 POINTS,https://www.beatstats.com/images/label/small/22511.jpg?version=3164,https://www.instagram.com/FFRR
HEXAGON,78188 POINTS,https://www.beatstats.com/images/label/small/47030.jpg?version=2209,https://www.instagram.com/HEXAGON
KOMPAKT,77376 POINTS,https://www.beatstats.com/images/label/small/4530.jpg?version=2038,https://www.instagram.com/KOMPAKT
EXPLOITED,75735 POINTS,https://www.beatstats.com/images/label/small/7600.jpg?version=18210,https://www.instagram.com/EXPLOITED
SIZE RECORDS,75147 POINTS,https://www.beatstats.com/images/label/small/38344.jpg?version=19211,https://www.instagram.com/SIZE RECORDS
BIG BEAT RECORDS,74716 POINTS,https://www.beatstats.com/images/label/small/15321.jpg?version=27552,https://www.instagram.com/BIG BEAT RECORDS
TRUESOUL,74468 POINTS,https://www.beatstats.com/images/label/small/2029.jpg?version=17408,https://www.instagram.com/TRUESOUL
NO ART,73735 POINTS,https://www.beatstats.com/images/label/small/61898.jpg?version=7226,https://www.instagram.com/NO ART
PRISON ENTERTAINMENT,72224 POINTS,https://www.beatstats.com/images/label/small/18741.jpg?version=21243,https://www.instagram.com/PRISON ENTERTAINMENT
SAVED RECORDS,71935 POINTS,https://www.beatstats.com/images/label/small/1475.jpg?version=38743,https://www.instagram.com/SAVED RECORDS
KITTBALL,71516 POINTS,https://www.beatstats.com/images/artist/test.jpg,https://www.instagram.com/KITTBALL
ARMIND (ARMADA),68903 POINTS,https://www.beatstats.com/images/label/small/40.jpg?version=58029,https://www.instagram.com/ARMIND (ARMADA)
SPRS,67104 POINTS,https://www.beatstats.com/images/label/small/37284.jpg?version=43665,https://www.instagram.com/SPRS
DEEPERFECT,66529 POINTS,https://www.beatstats.com/images/label/small/2051.jpg?version=54480,https://www.instagram.com/DEEPERFECT
